number	skill_id	name	category
2	821	Reverse Engineering	it web & mobile
2	133	Microsoft Project	finance & management
2	233	CATIA	manufacture & engineering
2	1453	vente	unknown
2	580	Graph Databases	it web & mobile
2	1191	Financial Writing	writing and languages
2	1090	Microsoft Sharepoint	design & multimedia
2	351	General Office Skills	admin support
2	406	App Usability Analysis	it web & mobile
2	614	iPhone SDK	it web & mobile
2	301	Other - Manufacturing	manufacture & engineering
2	318	Sewing	manufacture & engineering
2	1322	go to market strategy	unknown
2	990	Adobe Acrobat	design & multimedia
2	780	PL/SQL	it web & mobile
2	1366	competitive analysis	unknown
1	1214	Lyric Writing	writing and languages
1	1109	PSD to HTML	design & multimedia
1	352	Help & Support	admin support
1	1433	social business	unknown
1	1009	Adobe LiveCycle Designer	design & multimedia
1	1465	teamwork	unknown
1	1377	analysis	unknown
1	1401	flexible working	unknown
1	1444	fast learner	unknown
1	566	Geographic Information Systems	it web & mobile
1	1175	Creative writing	writing and languages
1	1412	in design	unknown
1	1323	vo ip	unknown
1	681	Mobile Operating System	it web & mobile
1	1423	enterprise 2 0	unknown
1	1334	solution selling	unknown
1	513	Database Administration	it web & mobile
1	236	Circuit Design	manufacture & engineering
1	785	Polymer	it web & mobile
1	1455	company set up	unknown
1	1043	Commercials	design & multimedia
1	912	VB.NET	it web & mobile
1	209	3D Systems	manufacture & engineering
1	1111	Raster Graphics Editor	design & multimedia
1	1434	mobile internet	unknown
1	1345	firewalls	unknown
1	540	Embedded System	it web & mobile
1	252	Electrical Manufacture	manufacture & engineering
1	1466	cascading style sheets css	unknown
1	1378	mobile product development	unknown
1	1402	search engine optimization seo	unknown
1	1312	field artillery survey	unknown
1	1324	network architecture	unknown
1	970	XSLT	it web & mobile
1	1131	Vector Graphics Editor	design & multimedia
1	732	Oracle Agile	it web & mobile
1	371	Typing	admin support
1	1445	customer relationship management crm	unknown
1	1356	communication marketing	unknown
1	1026	Audio Engineering	design & multimedia
1	567	Geolocation	it web & mobile
1	267	Geospatial	manufacture & engineering
1	1289	francais	unknown
1	87	Bookkeeping	finance & management
1	1176	Croatian	writing and languages
1	1413	marketing event planning	unknown
1	1424	digital strategy	unknown
1	1335	v mware	unknown
1	1254	Sports Writing	writing and languages
1	1456	asia pacific	unknown
1	484	Content Management System	it web & mobile
1	1113	Sencha Architect	design & multimedia
1	1435	relations clients	unknown
1	1346	mac os x server	unknown
1	1165	Catalan	writing and languages
1	413	Application Server	it web & mobile
1	1467	informatique decisionnelle	unknown
1	1379	mobile technology	unknown
1	1403	highly motivated self starter	unknown
1	1325	data center	unknown
1	502	Data Logistics	it web & mobile
1	225	AutoDesk Revit	manufacture & engineering
1	739	Oracle E-Business Suite	it web & mobile
1	1446	pro active leader	unknown
1	1357	gestion dequipe	unknown
1	1291	entrepreneuriat	unknown
1	1414	sculpture	unknown
1	684	Modeling Language	it web & mobile
1	1425	digital media	unknown
1	139	Payroll	finance & management
1	995	Adobe CS	design & multimedia
1	517	Debugging	it web & mobile
1	1255	Swedish	writing and languages
1	1146	Academic Writing	writing and languages
1	1457	japanese culture	unknown
1	1369	user interface	unknown
1	185	Environmental Law	legal
1	1393	database admin	unknown
1	1302	management consulting	unknown
1	1198	Greek	writing and languages
1	707	Network Monitoring	it web & mobile
1	1436	bto b	unknown
1	1347	open gl	unknown
1	546	Ext GWT	it web & mobile
1	1167	Children's Writing	writing and languages
1	805	R-Hadoop	it web & mobile
1	1468	secteur pharmaceutique	unknown
1	1404	adaptable to changes	unknown
1	876	SQLite Programming	it web & mobile
1	741	Oracle Financials Applications	it web & mobile
1	373	Virtual Assistant	admin support
1	1447	self motivated	unknown
1	1028	Autodesk Maya	design & multimedia
1	464	CISSP Certified Information Systems Security Professional	it web & mobile
1	658	Mail Transfer Agent	it web & mobile
1	322	Stratasys	manufacture & engineering
1	1415	swift	unknown
1	1426	social tv	unknown
1	996	Adobe Dreamweaver	design & multimedia
1	518	Delphi	it web & mobile
1	239	Climate Sciences	manufacture & engineering
1	1259	Technical Writing	writing and languages
1	1151	Article Rewriting	writing and languages
1	792	Predictive Analytics	it web & mobile
1	1458	cross cultural management	unknown
1	1370	automation	unknown
1	1049	Cover Design	design & multimedia
1	593	humanâ€“computer interaction	it web & mobile
1	1394	slideshare	unknown
1	1303	education	unknown
1	921	Virtualization	it web & mobile
1	1201	Hungarian	writing and languages
1	1437	relation build	unknown
1	1348	html 5	unknown
1	1280	j query	unknown
1	75	AccountMate	finance & management
1	1469	mergers acquisitions	unknown
1	1381	startup consulting	unknown
1	200	Privacy	legal
1	1405	multicultural	unknown
1	1316	networking	unknown
1	1416	http	unknown
1	1327	net	unknown
1	127	Job Costing	finance & management
1	983	3D Animation	design & multimedia
1	1448	face to face presentations	unknown
1	1359	reseaux sociaux	unknown
1	1031	Banner Ads	design & multimedia
1	839	SAS Business Analytics	it web & mobile
1	466	Clojure	it web & mobile
1	661	Manual Test Execution	it web & mobile
1	323	Structural Engineering	manufacture & engineering
1	23	Eloqua	sales & marketing
1	693	MySpace Development	it web & mobile
1	1427	tv	unknown
1	1338	channel partners	unknown
1	997	Adobe Dreamweaver CS	design & multimedia
1	1261	Telugu	writing and languages
1	1459	strategic marketing	unknown
1	1371	r d	unknown
1	187	Immigration Law	legal
1	1050	Covers & Packaging	design & multimedia
1	599	Ice Cream Sandwich	it web & mobile
1	1395	international marketing	unknown
1	959	WinJS	it web & mobile
1	216	ANSYS	manufacture & engineering
1	35	In-Game Advertising	sales & marketing
1	1117	Sony Vegas	design & multimedia
1	363	Personal Assistant	admin support
1	1438	business relationship management	unknown
1	551	FileMaker	it web & mobile
1	76	Accounts Payable	finance & management
1	1470	financial modeling	unknown
1	1382	promotions	unknown
1	311	Regulation	manufacture & engineering
1	1406	tweet deck	unknown
1	1417	affinity	unknown
1	1328	managed services	unknown
1	505	Data Protection	it web & mobile
1	229	Broadcast Engineering	manufacture & engineering
1	1243	Screenwriting	writing and languages
1	1449	phone communication	unknown
1	1360	service client	unknown
1	571	Google App Engine	it web & mobile
1	895	Testopia	it web & mobile
1	1186	English Punctuation	writing and languages
1	13	Brochures	sales & marketing
1	1428	web marketing	unknown
1	1339	os x	unknown
1	1003	Adobe FrameMaker	design & multimedia
1	399	Apache	it web & mobile
1	1460	coding experience	unknown
1	1372	i os development	unknown
1	1052	Desktop Publishing	design & multimedia
1	291	Mechatronics	manufacture & engineering
1	1396	database management	unknown
1	1305	training	unknown
1	495	D3.js	it web & mobile
1	884	Sybase Programming	it web & mobile
1	960	Wix	it web & mobile
1	217	ArchiCAD	manufacture & engineering
1	1225	Online Writing	writing and languages
1	1439	key account relationship building	unknown
1	1350	redis	unknown
1	557	FourSquare Development	it web & mobile
1	77	Accounts Receivable	finance & management
1	1471	private equity	unknown
1	1383	technology evangelist	unknown
1	202	Records Management	legal
1	1071	GIMP	design & multimedia
1	1407	international business	unknown
1	1318	security	unknown
1	1418	flask	unknown
1	230	Building Information Modeling	manufacture & engineering
1	764	Oracle Transportation Management	it web & mobile
1	377	.NET for Web	it web & mobile
1	1450	grands comptes	unknown
1	1034	Brochure Design	design & multimedia
1	1295	strategie commerciale	unknown
1	472	Cocoa	it web & mobile
1	900	Transaction Processing	it web & mobile
1	1187	English Spelling	writing and languages
1	1086	Maya	design & multimedia
1	325	Textile Engineering	manufacture & engineering
1	1101	Poster Design	design & multimedia
1	348	Email Etiquette	admin support
1	1429	television	unknown
1	1340	mac	unknown
1	242	Computer-Aided Design	manufacture & engineering
1	400	Apache Kafka	it web & mobile
1	1461	web applications	unknown
1	1373	team leadership	unknown
1	609	Integrated Development Environment	it web & mobile
1	295	Nanotechnology	manufacture & engineering
1	1397	hootsuite	unknown
1	867	Software framework	it web & mobile
1	932	Vulnerability Assessment	it web & mobile
1	1228	Poetry	writing and languages
1	365	Schedule	admin support
1	1440	sales management	unknown
1	1351	open cl	unknown
1	561	FTP	it web & mobile
1	1472	portfolio management	unknown
1	1388	amazon ec 2	unknown
1	633	JSON	it web & mobile
1	1408	community outreach	unknown
1	326	USB Electronics	manufacture & engineering
1	1419	web 2 0	unknown
1	1330	ip	unknown
1	508	Data Storage	it web & mobile
1	231	CAD/CAM/CAE	manufacture & engineering
1	1246	Short Stories	writing and languages
1	775	Perl	it web & mobile
1	379	ActionScript	it web & mobile
1	1451	gestion de la relation client crm	unknown
1	1363	pay per click ppc	unknown
1	1296	k 12 education	unknown
1	901	Twig	it web & mobile
1	1188	Feature Writing	writing and languages
1	697	Natural Language Processing	it web & mobile
1	349	Email Handling	admin support
1	1430	sports	unknown
1	1341	i os	unknown
1	243	Construction Monitoring	manufacture & engineering
1	1268	User Guides	writing and languages
1	1157	Book Writing	writing and languages
1	1462	matlab	unknown
1	1374	vas	unknown
1	1307	west africa	unknown
1	887	System Analysis	it web & mobile
1	964	Xamarin	it web & mobile
1	1230	Portuguese	writing and languages
1	1441	key account acquisition retention	unknown
1	1021	Artlantis Studio	design & multimedia
